6032539, 6433502, 8023589, 8388607, 4362360, 5081124, 8388607, -8388608, 
6022980, 6423424, 8011532, 8388607, 4403007, 5071421, 8388607, -8388608, 
6125655, 6492958, 8114934, 8388607, 4382642, 5149498, 8388607, -8388608, 
6143710, 6506476, 8134626, 8388607, 4333933, 5155891, 8388607, -8388608, 
6113606, 6487303, 8105521, 8388607, 4326477, 5137853, 8388607, -8388608, 
6032506, 6433532, 8023538, 8388607, 4359979, 5081103, 8388607, -8388608, 
6022219, 6422934, 8010701, 8388607, 4400538, 5070248, 8388607, -8388608, 
6125533, 6492954, 8114655, 8388607, 4381104, 5149020, 8388607, -8388608, 
6145378, 6507745, 8136022, 8388607, 4332472, 5156194, 8388607, -8388608, 
6115677, 6488803, 8107269, 8388607, 4324316, 5138150, 8388607, -8388608, 
6034427, 6434896, 8025188, 8388607, 4357278, 5081219, 8388607, -8388608, 
6022622, 6423246, 8010878, 8388607, 4397531, 5069603, 8388607, -8388608, 
6124387, 6492050, 8113439, 8388607, 4378719, 5148337, 8388607, -8388608, 
6145251, 6507539, 8135824, 8388607, 4330171, 5155938, 8388607, -8388608, 
6115834, 6489064, 8107427, 8388607, 4322311, 5138246, 8388607, -8388608, 
6034934, 6435304, 8025641, 8388607, 4354549, 5081098, 8388607, -8388608, 
6022201, 6423059, 8010423, 8388607, 4394676, 5068943, 8388607, -8388608, 
6124606, 6492332, 8113505, 8388607, 4376849, 5148139, 8388607, -8388608, 
6146225, 6508422, 8136554, 8388607, 4328061, 5155986, 8388607, -8388608, 
6115198, 6488629, 8106614, 8388607, 4320138, 5137983, 8388607, -8388608, 
6034488, 6434778, 8024927, 8388607, 4351870, 5080708, 8388607, -8388608, 
6022134, 6422744, 8010178, 8388607, 4391479, 5067929, 8388607, -8388608, 
6123751, 6491671, 8112572, 8388607, 4374521, 5147538, 8388607, -8388608, 
6145181, 6507518, 8135438, 8388607, 4326570, 5155899, 8388607, -8388608, 
6115264, 6488498, 8106571, 8388607, 4318095, 5137858, 8388607, -8388608, 
6121677, 6489841, 8108921, 8388607, 4352091, 5143808, 8388607, -8388608, 
6022288, 6422813, 8010179, 8388607, 4389227, 5067508, 8388607, -8388608, 
6147181, 6507819, 8135683, 8388607, 4296735, 5150194, 8388607, -8388608, 
6145143, 6507641, 8135313, 8388607, 4324729, 5155849, 8388607, -8388608, 
6019943, 6422628, 8006917, 8388607, 4378217, 5073699, 8388607, -8388608, 
6036054, 6435703, 8026062, 8388607, 4347333, 5080831, 8388607, -8388608, 
